storage_id,mode,delay_ms,workers,trial_index,worker_id,operation_index,lease_id,warden_ns,claim_ns,application_ns,unattributed_ns,end_to_end_ns
storage-0,off,0.0,2,0,0,14,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,0,100,100
storage-0,off,0.0,2,0,0,15,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,0,200,200
storage-0,off,0.0,2,0,0,16,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,0,100
storage-0,off,0.0,2,0,0,17,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,0,100
storage-0,off,0.0,2,0,0,18,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,100,200
storage-0,off,0.0,2,0,0,19,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,0,100
storage-0,off,0.0,2,0,0,20,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,0,100
storage-0,off,0.0,2,0,0,21,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,0,200,200
storage-0,off,0.0,2,0,0,22,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,0,100
storage-0,off,0.0,2,0,0,23,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,0,100
storage-0,off,0.0,2,0,0,24,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,0,200,200
storage-0,off,0.0,2,0,1,0,lease_02d251a090584bcdb223a7317fd81d1e,0,0,100,700,800
storage-0,off,0.0,2,0,1,1,lease_02d251a090584bcdb223a7317fd81d1e,0,0,100,200,300
storage-0,off,0.0,2,0,1,2,lease_02d251a090584bcdb223a7317fd81d1e,0,0,0,200,200
storage-0,off,0.0,2,0,1,3,lease_02d251a090584bcdb223a7317fd81d1e,0,0,100,0,100
storage-0,off,0.0,2,0,1,4,lease_02d251a090584bcdb223a7317fd81d1e,0,0,0,200,200
storage-0,off,0.0,2,0,1,5,lease_02d251a090584bcdb223a7317fd81d1e,0,0,100,0,100
storage-0,off,0.0,2,0,1,6,lease_02d251a090584bcdb223a7317fd81d1e,0,0,0,200,200
